Date	            Water Level	                 Soiloisture
June 13th 2019, 4:44:56 p		1599
June 13th 2019, 4:45:53 p		1618
June 13th 2019, 4:46:59 p		1548
June 13th 2019, 4:47:58 p		1620
June 13th 2019, 4:49:02 p		1637
June 13th 2019, 4:50:01 p		1584
June 13th 2019, 4:51:02 p		1585
June 13th 2019, 4:52:02 p		1577
June 13th 2019, 4:53:02 p		1582
June 13th 2019, 4:54:02 p		1650
June 13th 2019, 4:55:03 p		1574
June 13th 2019, 4:56:03 p		1574
June 13th 2019, 4:57:03 p		1566
June 13th 2019, 4:58:03 p		1573
June 13th 2019, 4:59:04 p		1573
June 13th 2019, 5:00:03 p		1584
June 13th 2019, 5:01:03 p		1576
June 13th 2019, 5:02:04 p		1588
June 13th 2019, 5:03:03 p		1587
June 13th 2019, 5:04:03 p		1610
June 13th 2019, 5:05:04 p	0.01	1561
June 13th 2019, 5:06:05 p		1608
June 13th 2019, 5:07:04 p		1572
June 13th 2019, 5:08:05 p		1555
June 13th 2019, 5:09:04 p		1525
June 13th 2019, 5:10:05 p		1555
June 13th 2019, 5:11:05 p		1605

June 13th 2019, 5:13:04 p	0.02	1560
June 13th 2019, 5:14:04 p	0.02	1568
June 13th 2019, 5:15:05 p	0.04	1531
June 13th 2019, 5:21:04 p		1585
June 13th 2019, 5:22:05 p		1531
June 13th 2019, 5:23:05 p		1581
June 13th 2019, 5:29:05 p	0.02	1583
June 13th 2019, 5:30:05 p	0.01	1575
June 13th 2019, 5:32:04 p	0.04	1568
June 13th 2019, 5:35:04 p		1567
June 13th 2019, 5:36:05 p		1583
June 13th 2019, 5:40:05 p	0.02	1581
June 13th 2019, 5:41:05 p		1530
June 13th 2019, 5:46:05 p		1578
June 13th 2019, 5:47:04 p	0.05	1576
June 13th 2019, 5:51:05 p		1547
June 13th 2019, 5:56:05 p	0	1579
June 13th 2019, 6:00:06 p	0.03	1625
June 13th 2019, 6:05:04 p	0.01	1614
June 13th 2019, 6:06:05 p	0.01	1577
June 13th 2019, 6:08:05 p	0	1573
June 13th 2019, 6:10:05 p	0.02	1574
June 13th 2019, 6:12:05 p	0.01	1580
June 13th 2019, 6:13:05 p	0.01	1580
June 13th 2019, 6:16:04 p	0.01	1596
June 13th 2019, 6:17:05 p	0.01	1684
June 13th 2019, 6:19:05 p	0.01	1568
June 13th 2019, 6:24:04 p	0.02	1569
June 13th 2019, 6:25:06 p	0.01	1571
June 13th 2019, 6:27:05 p	0.02	1587
June 13th 2019, 6:31:05 p	0.03	1515
June 13th 2019, 6:33:05 p	0.04	1644
June 13th 2019, 6:35:06 p	0.01	1602
June 13th 2019, 6:41:05 p	0.02	1472
June 13th 2019, 6:46:04 p	0.02	1562
June 13th 2019, 6:47:04 p	0.01	1587
June 13th 2019, 6:48:05 p	0	1579
June 13th 2019, 6:50:04 p	0.03	1613
June 13th 2019, 6:51:05 p	0.03	1645
June 13th 2019, 6:56:05 p	0.02	1716
June 13th 2019, 6:58:05 p	0.03	1566
June 13th 2019, 7:03:05 p	0.04	1582
June 13th 2019, 7:07:04 p	0.03	1512
June 13th 2019, 7:08:06 p	0.01	1597
