Date	Water Level	Soiloisture
June 19th 2019, 3:30:23 p	-0.7	1707
June 19th 2019, 3:32:23 p	-0.69	1687
June 19th 2019, 3:33:23 p	-0.7	1663
June 19th 2019, 3:34:23 p	-0.7	1763
June 19th 2019, 3:35:23 p	-0.7	1712
June 19th 2019, 3:36:23 p	-0.69	1709
June 19th 2019, 3:37:23 p	-0.71	1715
June 19th 2019, 3:38:23 p	-0.69	1698
June 19th 2019, 3:39:23 p	-0.7	1704
June 19th 2019, 3:40:26 p	-0.7	1673
June 19th 2019, 3:41:23 p	-0.7	1776
June 19th 2019, 3:42:23 p	-0.69	1716
June 19th 2019, 3:43:23 p	-0.7	1684
June 19th 2019, 3:45:35 p	-0.7	1703
June 19th 2019, 3:46:23 p	-0.71	1692
June 19th 2019, 3:47:24 p	-0.7	1714
June 19th 2019, 3:48:24 p	-0.7	1727
June 19th 2019, 3:49:24 p	-0.7	1722
June 19th 2019, 3:50:24 p	-0.7	1729
June 19th 2019, 3:51:24 p	-0.7	1728
June 19th 2019, 3:52:24 p	-0.71	1713
June 19th 2019, 3:53:24 p	-0.7	1641
June 19th 2019, 3:54:24 p	-0.7	1721
June 19th 2019, 3:55:24 p	-0.7	1715
June 19th 2019, 3:56:24 p	-0.69	1685
June 19th 2019, 3:57:24 p	-0.7	1705
June 19th 2019, 3:58:24 p	-0.7	1717
June 19th 2019, 3:59:23 p	-0.7	1704
June 19th 2019, 4:01:23 p	-0.7	1731
June 19th 2019, 4:02:24 p	-0.7	1701
June 19th 2019, 4:03:24 p	-0.69	1722

June 19th 2019, 4:04:25 p	-0.71	1720
June 19th 2019, 4:05:25 p	-0.7	1705
June 19th 2019, 4:07:26 p	-0.71	1712
June 19th 2019, 4:08:24 p	-0.7	1685
June 19th 2019, 4:09:24 p	-0.71	1713
June 19th 2019, 4:10:24 p	-0.71	1736
June 19th 2019, 4:11:24 p	-0.71	1724
June 19th 2019, 4:12:24 p	-0.7	1722
June 19th 2019, 4:13:24 p	-0.71	1708
June 19th 2019, 4:14:24 p	-0.71	1709
June 19th 2019, 4:16:29 p	-0.71	1732
June 19th 2019, 4:17:24 p	-0.71	1687
June 19th 2019, 4:18:24 p	-0.71	1707
June 19th 2019, 4:19:25 p	-0.7	1713
June 19th 2019, 4:20:25 p	-0.71	1708
June 19th 2019, 4:21:24 p	-0.7	1752
June 19th 2019, 4:22:24 p	-0.7	1756
June 19th 2019, 4:23:24 p	-0.71	1692
June 19th 2019, 4:24:24 p	-0.71	1715
June 19th 2019, 4:25:25 p	-0.71	1709
June 19th 2019, 4:26:24 p	-0.71	1719
June 19th 2019, 4:27:25 p	-0.71	1696
June 19th 2019, 4:28:24 p	-0.71	1718
June 19th 2019, 4:29:25 p	-0.71	1718
June 19th 2019, 4:30:25 p	-0.71	1736
June 19th 2019, 4:31:24 p	-0.71	1704
June 19th 2019, 4:32:25 p	-0.71	1739
June 19th 2019, 4:33:25 p	-0.71	1681
June 19th 2019, 4:34:30 p	-0.71	1703
June 19th 2019, 4:35:25 p	-0.71	1747
June 19th 2019, 4:36:25 p	-0.72	1707
June 19th 2019, 4:37:26 p	-0.7	1718
June 19th 2019, 4:40:25 p	-0.71	1741
June 19th 2019, 4:41:25 p	-0.71	1709
June 19th 2019, 4:42:25 p	-0.71	1687
June 19th 2019, 4:43:26 p	-0.71	1699
June 19th 2019, 4:44:25 p	-0.71	1714
June 19th 2019, 4:45:25 p	-0.71	1705
June 19th 2019, 4:46:25 p	-0.71	1658
June 19th 2019, 4:47:25 p	-0.71	1709
June 19th 2019, 4:48:25 p	-0.7	1744
June 19th 2019, 4:49:26 p	-0.72	1712
June 19th 2019, 4:50:26 p	-0.71	1708
June 19th 2019, 4:51:26 p	-0.71	1672
June 19th 2019, 4:52:26 p	-0.72	1724
June 19th 2019, 4:54:25 p	-0.72	1713
June 19th 2019, 4:55:26 p	-0.71	1744
June 19th 2019, 4:56:25 p	-0.71	1702
June 19th 2019, 4:57:25 p	-0.71	1722
June 19th 2019, 4:58:26 p	-5.73	1715
June 19th 2019, 4:59:26 p	-0.72	1709
June 19th 2019, 5:00:25 p	-0.72	1702
June 19th 2019, 5:01:25 p	-0.72	1738
June 19th 2019, 5:03:25 p	-0.72	1717
June 19th 2019, 5:04:26 p	-0.72	1714
June 19th 2019, 5:06:26 p	-0.72	1674
June 19th 2019, 5:07:26 p	-0.72	1720
June 19th 2019, 5:08:26 p	-0.71	1685

June 19th 2019, 5:09:26 p	-0.72	1698
June 19th 2019, 5:10:26 p	-0.72	1714
June 19th 2019, 5:11:26 p	-0.71	1707
June 19th 2019, 5:12:26 p	-0.71	1626
June 19th 2019, 5:13:28 p	-0.71	1736
June 19th 2019, 5:15:26 p	-0.71	1694
June 19th 2019, 5:16:26 p	-0.71	1732
June 19th 2019, 5:17:27 p	-0.71	1717
June 19th 2019, 5:18:26 p	-0.72	1707
June 19th 2019, 5:20:30 p	-0.72	1746
June 19th 2019, 5:21:26 p	-0.72	1682
June 19th 2019, 5:22:26 p	-0.72	1715
June 19th 2019, 5:23:27 p	-0.72	1689
June 19th 2019, 5:24:27 p	-0.72	1704
June 19th 2019, 5:25:27 p	-0.71	1699
June 19th 2019, 5:26:27 p	-0.71	1727
June 19th 2019, 5:27:27 p	-0.72	1693
June 19th 2019, 5:28:27 p	-0.72	1694
June 19th 2019, 5:29:28 p	-0.71	1696
June 19th 2019, 5:30:27 p	-0.71	1726
June 19th 2019, 5:32:27 p	-0.72	1793
June 19th 2019, 5:33:30 p	-0.72	1744
June 19th 2019, 5:35:27 p	-0.72	1713
June 19th 2019, 5:36:27 p	-0.72	1714
June 19th 2019, 5:37:28 p	-0.71	1718
June 19th 2019, 5:38:27 p	-0.71	1604
June 19th 2019, 5:40:27 p	-0.72	1692
June 19th 2019, 5:41:27 p	-0.72	1686
June 19th 2019, 5:42:27 p	-0.71	1702
June 19th 2019, 5:43:30 p	-0.72	1714
June 19th 2019, 5:44:27 p	-0.72	1740
June 19th 2019, 5:45:28 p	-0.72	1726
June 19th 2019, 5:47:28 p	-0.72	1698
June 19th 2019, 5:48:27 p	-0.72	1711
June 19th 2019, 5:49:30 p	-0.72	1719
June 19th 2019, 5:50:27 p	-0.71	1709
June 19th 2019, 5:52:32 p	-0.72	1684
June 19th 2019, 5:53:28 p	-0.72	1710
June 19th 2019, 5:54:27 p	-0.72	1669
June 19th 2019, 5:55:28 p	-0.72	1623
June 19th 2019, 5:57:28 p	-0.72	1705
June 19th 2019, 5:58:28 p	-0.71	1719
June 19th 2019, 5:59:28 p	-0.72	1725
June 19th 2019, 6:00:28 p	-0.72	1680
June 19th 2019, 6:01:30 p	-0.72	1720
June 19th 2019, 6:02:28 p	-0.72	1707
June 19th 2019, 6:03:28 p	-0.72	1705
June 19th 2019, 6:04:28 p	-0.72	1733
June 19th 2019, 6:05:28 p	-0.72	1706
June 19th 2019, 6:06:28 p	-0.72	1718
June 19th 2019, 6:08:29 p	-0.72	1710
June 19th 2019, 6:09:28 p	-0.72	1720
June 19th 2019, 6:10:28 p	-0.71	1709
June 19th 2019, 6:11:33 p	-0.71	1753
June 19th 2019, 6:12:28 p	-0.72	1732
June 19th 2019, 6:13:29 p	-0.72	1793
June 19th 2019, 6:15:28 p	-0.72	1702
June 19th 2019, 6:16:29 p	-0.72	1697
June 19th 2019, 6:17:29 p	-0.72	1687
June 19th 2019, 6:18:29 p	-0.72	1744
June 19th 2019, 6:20:29 p	-0.72	1638
June 19th 2019, 6:21:29 p	-0.72	1724
June 19th 2019, 6:23:29 p	-0.72	1717
June 19th 2019, 6:24:28 p	-0.72	1728
June 19th 2019, 6:25:29 p	-0.72	1680
June 19th 2019, 6:26:29 p	-0.73	1676
June 19th 2019, 6:27:29 p	-0.72	1705
June 19th 2019, 6:28:29 p	-0.72	1720
June 19th 2019, 6:30:34 p	-0.73	1654
June 19th 2019, 6:31:30 p	-0.72	1726
June 19th 2019, 6:33:29 p	-0.73	1686
June 19th 2019, 6:34:29 p	-0.73	1718
June 19th 2019, 6:35:31 p	-0.72	1671
June 19th 2019, 6:37:29 p	-0.73	1704
June 19th 2019, 6:38:29 p	-0.73	1740
June 19th 2019, 6:40:30 p	-0.73	1683
June 19th 2019, 6:42:29 p	-0.73	1708
June 19th 2019, 6:43:30 p	-0.72	1709
June 19th 2019, 6:44:29 p	-0.73	1737
June 19th 2019, 6:45:30 p	-0.73	1696
June 19th 2019, 6:46:29 p	-0.73	1726
June 19th 2019, 6:47:30 p	-0.73	1711
June 19th 2019, 6:48:29 p	-0.73	1703
June 19th 2019, 6:49:30 p	-0.73	1711
June 19th 2019, 6:50:30 p	-0.73	1737
June 19th 2019, 6:51:30 p	-0.73	1690
June 19th 2019, 6:52:30 p	-0.73	1708
June 19th 2019, 6:53:33 p	-0.73	1713
June 19th 2019, 6:54:30 p	-0.73	1712
June 19th 2019, 6:55:36 p	-0.72	1717
June 19th 2019, 6:56:29 p	-0.72	1719
June 19th 2019, 6:57:33 p	-0.73	1712
June 19th 2019, 6:58:30 p	-0.72	1711
June 19th 2019, 6:59:30 p	-0.73	1716
June 19th 2019, 7:00:30 p	0.27	1713
June 19th 2019, 7:01:31 p	0.27	1668
June 19th 2019, 7:03:31 p	0.26	1694
June 19th 2019, 7:04:30 p	0.28	1672
June 19th 2019, 7:05:34 p	0.28	1701
June 19th 2019, 7:06:30 p	0.28	1700
June 19th 2019, 7:07:34 p	0.28	1728
June 19th 2019, 7:08:30 p	0.28	1663
June 19th 2019, 7:09:30 p	0.27	1769
June 19th 2019, 7:10:30 p	0.28	1723
June 19th 2019, 7:11:31 p	0.28	1707
June 19th 2019, 7:13:33 p	0.27	1721
June 19th 2019, 7:14:30 p	0.28	1724
June 19th 2019, 7:16:31 p	0.28	1730
June 19th 2019, 7:21:30 p	0.28	1703
June 19th 2019, 7:23:34 p	0.28	1732
June 19th 2019, 7:25:34 p	0.28	1732
June 19th 2019, 7:29:31 p	0.28	1716
June 19th 2019, 7:31:32 p	0.28	1697
June 19th 2019, 7:32:31 p	0.28	1703
June 19th 2019, 7:33:35 p	0.28	1725
June 19th 2019, 7:37:32 p	0.28	1716
June 19th 2019, 7:39:32 p	0.28	1705
June 19th 2019, 7:42:37 p	0.28	1710
June 19th 2019, 7:43:32 p	0.28	1684
June 19th 2019, 7:45:35 p	0.27	1710
June 19th 2019, 7:46:32 p	0.28	1673
June 19th 2019, 7:47:32 p	0.28	1686
June 19th 2019, 7:49:31 p	0.28	1706
June 19th 2019, 7:51:35 p	0.28	1732
June 19th 2019, 7:53:33 p	0.28	1733
June 19th 2019, 7:56:40 p	0.27	1719
June 19th 2019, 7:57:33 p	0.28	1731
June 19th 2019, 8:00:32 p	0.28	1696
June 19th 2019, 8:01:36 p	0.28	1699
June 19th 2019, 8:03:35 p	0.28	1711
June 19th 2019, 8:04:32 p	0.28	1718
June 19th 2019, 8:05:33 p	0.27	1719
June 19th 2019, 8:07:33 p	-3.4	1751
June 19th 2019, 8:08:32 p	0.28	1703
June 19th 2019, 8:10:32 p	0.28	1718
June 19th 2019, 8:11:36 p	0.28	1717
June 19th 2019, 8:12:32 p	0.28	1725
June 19th 2019, 8:13:37 p	0.28	1689
June 19th 2019, 8:14:32 p	0.28	1708
June 19th 2019, 8:15:36 p	0.28	1704
June 19th 2019, 8:16:32 p	0.27	1706
June 19th 2019, 8:18:32 p	0.28	1680
June 19th 2019, 8:20:33 p	0.28	1664
June 19th 2019, 8:21:36 p	0.28	1700
June 19th 2019, 8:23:33 p	0.28	1699
June 19th 2019, 8:24:33 p	0.28	1717
June 19th 2019, 8:25:36 p	0.28	1707
June 19th 2019, 8:26:33 p	0.27	1655
June 19th 2019, 8:27:36 p	0.28	1716
June 19th 2019, 8:28:33 p	0.28	1717
June 19th 2019, 8:29:37 p	0.27	1716
June 19th 2019, 8:30:33 p	0.28	1741
June 19th 2019, 8:31:37 p	0.28	1652
June 19th 2019, 8:32:33 p	0.28	1691
June 19th 2019, 8:33:38 p	0.28	1731
June 19th 2019, 8:34:33 p	0.28	1716
June 19th 2019, 8:35:37 p	0.28	1701
June 19th 2019, 8:36:33 p	0.28	1686
June 19th 2019, 8:37:37 p	0.28	1791
June 19th 2019, 8:38:33 p	0.28	1699
June 19th 2019, 8:39:34 p	0.28	1715
June 19th 2019, 8:40:33 p	0.27	1710
June 19th 2019, 8:41:36 p	0.28	1703
June 19th 2019, 8:42:33 p	0.27	1722
June 19th 2019, 8:43:34 p	0.27	1699
June 19th 2019, 8:44:34 p	0.28	1726
June 19th 2019, 8:45:34 p	0.28	1717
June 19th 2019, 8:46:34 p	0.27	1688
June 19th 2019, 8:47:37 p	0.27	1730
June 19th 2019, 8:48:34 p	0.28	1689
June 19th 2019, 8:49:37 p	0.27	1712
June 19th 2019, 8:50:33 p	0.27	1701
June 19th 2019, 8:51:34 p	0.27	1718
June 19th 2019, 8:52:34 p	0.27	1714
June 19th 2019, 8:54:34 p	0.28	1732
June 19th 2019, 8:55:37 p	0.28	1699
June 19th 2019, 8:56:34 p	0.28	1731
June 19th 2019, 8:57:37 p	0.27	1684
June 19th 2019, 8:58:34 p	0.27	1726
June 19th 2019, 8:59:38 p	0.27	1736
June 19th 2019, 9:00:34 p	0.28	1656
June 19th 2019, 9:02:34 p	0.28	1686
June 19th 2019, 9:03:37 p	0.27	1708
June 19th 2019, 9:04:34 p	0.28	1698
June 19th 2019, 9:07:36 p	0.28	1733
June 19th 2019, 9:08:34 p	0.27	1713
June 19th 2019, 9:10:34 p	0.27	1728
June 19th 2019, 9:11:34 p	0.28	1742
June 19th 2019, 9:12:35 p	0.27	1713
June 19th 2019, 9:13:39 p	0.27	1700
June 19th 2019, 9:14:34 p	0.28	1695
June 19th 2019, 9:15:39 p	0.28	1784
June 19th 2019, 9:16:34 p	0.28	1702
June 19th 2019, 9:17:38 p	0.27	1757
June 19th 2019, 9:19:35 p	0.28	1720
June 19th 2019, 9:20:35 p	0.27	1693
June 19th 2019, 9:22:37 p	0.27	1723
June 19th 2019, 9:24:35 p	0.28	1736
June 19th 2019, 9:26:35 p	0.27	1680
June 19th 2019, 9:27:35 p	0.27	1700
June 19th 2019, 9:28:35 p	0.28	1722
June 19th 2019, 9:29:36 p	0.27	1682
June 19th 2019, 9:30:35 p	0.28	1727
June 19th 2019, 9:31:39 p	0.27	1739
June 19th 2019, 9:32:35 p	0.27	1721
June 19th 2019, 9:33:39 p	0.28	1716
June 19th 2019, 9:34:35 p	0.28	1711
June 19th 2019, 9:35:38 p	0.28	1751
June 19th 2019, 9:36:35 p	0.28	1712
June 19th 2019, 9:37:38 p	0.27	1741
June 19th 2019, 9:38:35 p	0.28	1703
June 19th 2019, 9:39:38 p	0.27	1712
June 19th 2019, 9:40:35 p	0.28	1676
June 19th 2019, 9:41:39 p	0.28	1710
June 19th 2019, 9:42:35 p	0.27	1711
June 19th 2019, 9:44:35 p	0.27	1708
June 19th 2019, 9:45:41 p	0.28	1711
June 19th 2019, 9:46:35 p	0.27	1671
June 19th 2019, 9:47:39 p	0.28	1728
June 19th 2019, 9:48:35 p	0.27	1711
June 19th 2019, 9:49:40 p	0.27	1695
June 19th 2019, 9:50:35 p	0.27	1707
June 19th 2019, 9:51:36 p	0.27	1709
June 19th 2019, 9:52:36 p	0.27	1720
June 19th 2019, 9:53:39 p	0.28	1719
June 19th 2019, 9:54:36 p	0.27	1732
June 19th 2019, 9:55:36 p	0.28	1675
June 19th 2019, 9:56:36 p	0.27	1722
June 19th 2019, 9:57:39 p	0.27	1717
June 19th 2019, 9:58:36 p	0.27	1714
June 19th 2019, 9:59:36 p	0.27	1704
June 19th 2019, 10:00:36 p	0.27	1803
June 19th 2019, 10:01:36 p	0.27	1690
June 19th 2019, 10:02:36 p	0.27	1750
June 19th 2019, 10:03:36 p	0.27	1654
June 19th 2019, 10:04:36 p	0.27	1725
June 19th 2019, 10:05:36 p	0.28	1711
June 19th 2019, 10:06:36 p	0.27	1713
June 19th 2019, 10:08:36 p	0.27	1677
June 19th 2019, 10:09:39 p	0.27	1718
June 19th 2019, 10:10:36 p	0.27	1703
