Date	Water Level	Soiloisture
June 16th 2019, 3:21:54 p		1724
June 17th 2019, 12:53:08 p		0
June 19th 2019, 11:31:15 a	-0.69	1687
June 19th 2019, 11:32:15 a	-0.69	1793
June 19th 2019, 11:33:14 a	-0.69	1727
June 19th 2019, 11:34:15 a	-0.69	1709
June 19th 2019, 11:35:16 a	-0.69	1743
June 19th 2019, 11:36:15 a	-0.69	1723
June 19th 2019, 11:37:14 a	-0.7	1685
June 19th 2019, 11:38:14 a	-0.69	1721
June 19th 2019, 11:39:16 a	-0.7	1717
June 19th 2019, 11:40:15 a	-0.69	1708
June 19th 2019, 11:41:15 a	-0.69	1727
June 19th 2019, 11:42:15 a	-0.7	1716
June 19th 2019, 11:43:15 a	-0.69	1710
June 19th 2019, 11:44:15 a	-0.69	1686
June 19th 2019, 11:45:15 a	-0.71	1715
June 19th 2019, 11:46:15 a	-0.69	1711
June 19th 2019, 11:47:15 a	-0.7	1711
June 19th 2019, 11:48:15 a	-0.69	1698
June 19th 2019, 11:49:15 a	-0.69	1704
June 19th 2019, 11:50:15 a	-0.69	1714
June 19th 2019, 11:51:16 a	-0.68	1725
June 19th 2019, 11:52:16 a	-0.69	1722
June 19th 2019, 11:53:15 a	-0.68	1713
June 19th 2019, 11:54:16 a	-0.72	1742
June 19th 2019, 11:55:15 a	-0.68	1697
June 19th 2019, 11:56:15 a	-0.69	1769
June 19th 2019, 11:57:16 a	-0.69	1711
June 19th 2019, 11:58:15 a	-0.69	1689
June 19th 2019, 11:59:16 a	-0.69	1713
June 19th 2019, 12:00:15 p	-0.68	1717
June 19th 2019, 12:01:15 p	-0.69	1765
June 19th 2019, 12:02:16 p	-0.69	1698
June 19th 2019, 12:03:15 p	-0.7	1698
June 19th 2019, 12:04:16 p	-0.68	1717
June 19th 2019, 12:05:16 p	-0.68	1743
June 19th 2019, 12:06:17 p	-0.69	1715
June 19th 2019, 12:07:15 p	-0.68	1715
June 19th 2019, 12:08:16 p	-0.68	1715
June 19th 2019, 12:10:16 p	-0.69	1722
June 19th 2019, 12:11:16 p	-0.7	1720
June 19th 2019, 12:12:17 p	-0.69	1699
June 19th 2019, 12:13:16 p	-0.68	1770
June 19th 2019, 12:14:16 p	-0.68	1717
June 19th 2019, 12:15:16 p	-0.69	1717
June 19th 2019, 12:16:16 p	-0.69	1735
June 19th 2019, 12:17:16 p	-0.69	1750
June 19th 2019, 12:18:16 p	-0.69	1720
June 19th 2019, 12:19:18 p	-0.68	1809
June 19th 2019, 12:20:16 p	-0.68	1746
June 19th 2019, 12:21:16 p	-0.68	1722
June 19th 2019, 12:22:16 p	-0.68	1721
June 19th 2019, 12:23:16 p	-0.69	1708
June 19th 2019, 12:24:16 p	-0.69	1704
June 19th 2019, 12:26:17 p	-0.69	1744
June 19th 2019, 12:27:19 p	-0.69	1678
June 19th 2019, 12:28:16 p	-0.69	1715
June 19th 2019, 12:29:17 p	-0.69	1704
June 19th 2019, 12:30:17 p	-0.68	1726
June 19th 2019, 12:31:17 p	-0.71	1661
June 19th 2019, 12:32:17 p	-0.69	1722
June 19th 2019, 12:33:17 p	-0.69	1716
June 19th 2019, 12:34:17 p	-0.69	1715
June 19th 2019, 12:35:17 p	-0.69	1718
June 19th 2019, 12:36:18 p	-0.69	1715
June 19th 2019, 12:37:16 p	-0.69	1700
June 19th 2019, 12:39:16 p	-0.69	1712
June 19th 2019, 12:40:17 p	-0.69	1723
June 19th 2019, 12:41:17 p	-0.69	1758
June 19th 2019, 12:42:17 p	-0.71	1699
June 19th 2019, 12:43:17 p	-0.69	1714
June 19th 2019, 12:44:17 p	-0.71	1681
June 19th 2019, 12:45:17 p	-0.69	1705
June 19th 2019, 12:46:17 p	-0.69	1717
June 19th 2019, 12:47:17 p	-0.69	1716
June 19th 2019, 12:48:17 p	-0.7	1721
June 19th 2019, 12:49:17 p	-0.69	1704
June 19th 2019, 12:50:17 p	-0.69	1692
June 19th 2019, 12:51:17 p		1711
June 19th 2019, 12:52:17 p	-0.69	1711
June 19th 2019, 12:53:17 p	-0.69	1730
June 19th 2019, 12:54:17 p	-0.7	1689
June 19th 2019, 12:55:17 p	-0.74	1723
June 19th 2019, 12:56:18 p	-0.69	1721
June 19th 2019, 12:57:18 p	-0.69	1730
June 19th 2019, 12:58:18 p	-0.7	1725
June 19th 2019, 12:59:18 p	-0.69	1706
June 19th 2019, 1:00:17 p	-0.7	1717
June 19th 2019, 1:01:18 p	-0.7	1708
June 19th 2019, 1:02:19 p	-0.69	1698
June 19th 2019, 1:03:18 p	-0.71	1719
June 19th 2019, 1:04:18 p	-0.71	1689
June 19th 2019, 1:05:18 p	-0.7	1709
June 19th 2019, 1:06:18 p	-0.7	1716
June 19th 2019, 1:08:18 p	-0.69	1740
June 19th 2019, 1:09:18 p	-0.71	1717
June 19th 2019, 1:10:18 p	-0.7	1731
June 19th 2019, 1:11:18 p	-0.71	1701
June 19th 2019, 1:12:18 p	-0.7	1715
June 19th 2019, 1:13:18 p	-0.71	1741
June 19th 2019, 1:14:18 p	-0.7	1720
June 19th 2019, 1:15:18 p	-0.7	1706
June 19th 2019, 1:16:18 p	-0.7	1723
June 19th 2019, 1:17:19 p	-0.69	1648
June 19th 2019, 1:18:18 p	-0.69	1710
June 19th 2019, 1:19:18 p	-0.69	1718
June 19th 2019, 1:20:18 p	-0.7	1747
June 19th 2019, 1:21:18 p	-0.69	1749
June 19th 2019, 1:22:18 p	-0.7	1806
June 19th 2019, 1:23:18 p	-0.7	1712
June 19th 2019, 1:24:18 p	-0.69	1704
June 19th 2019, 1:25:18 p	-0.69	1699
June 19th 2019, 1:26:18 p	-0.7	1714
June 19th 2019, 1:27:19 p	-0.69	1700
June 19th 2019, 1:28:19 p	-0.69	1696
June 19th 2019, 1:29:19 p	-0.7	1670
June 19th 2019, 1:30:19 p	-0.71	1721
June 19th 2019, 1:31:19 p	-0.7	1727
June 19th 2019, 1:32:19 p	-0.69	1696
June 19th 2019, 1:33:19 p	-0.71	1722
June 19th 2019, 1:34:19 p	-0.7	1729
June 19th 2019, 1:35:20 p	-0.69	1721
June 19th 2019, 1:36:18 p	-0.7	1700
June 19th 2019, 1:37:19 p	-0.69	1736
June 19th 2019, 1:38:19 p	-0.7	1693
June 19th 2019, 1:39:19 p	-0.7	1679
June 19th 2019, 1:40:19 p	-0.7	1702
June 19th 2019, 1:41:19 p	-0.69	1718
June 19th 2019, 1:42:19 p	-0.69	1685
June 19th 2019, 1:43:19 p	-0.7	1715
June 19th 2019, 1:44:19 p	-0.7	1746
June 19th 2019, 1:45:19 p	-0.69	1717
June 19th 2019, 1:46:20 p	-0.69	1717
June 19th 2019, 1:47:20 p	-0.69	1746
June 19th 2019, 1:48:19 p	-0.69	1724
June 19th 2019, 1:49:20 p	-0.69	1692
June 19th 2019, 1:50:20 p	-0.69	1704
June 19th 2019, 1:51:19 p	-0.69	1708
June 19th 2019, 1:52:20 p	-0.7	1744
June 19th 2019, 1:53:19 p	-0.7	1700
June 19th 2019, 1:54:19 p	-0.69	1700
June 19th 2019, 1:55:20 p	-0.7	1711
June 19th 2019, 1:56:20 p	-0.7	1714
June 19th 2019, 1:57:20 p	-0.7	1730
June 19th 2019, 1:58:20 p	-0.69	1720
June 19th 2019, 1:59:20 p	-0.69	1686
June 19th 2019, 2:00:19 p	-0.69	1663
June 19th 2019, 2:01:20 p	-0.69	1718
June 19th 2019, 2:02:20 p	-0.69	1697
June 19th 2019, 2:03:20 p	-0.69	1767
June 19th 2019, 2:04:20 p	-0.7	1756
June 19th 2019, 2:05:20 p	-0.71	1698
June 19th 2019, 2:06:21 p	-0.69	1720
June 19th 2019, 2:07:20 p	-0.69	1748
June 19th 2019, 2:08:20 p	-0.69	1714
June 19th 2019, 2:09:20 p	-0.7	1705
June 19th 2019, 2:10:20 p	-0.7	1646
June 19th 2019, 2:11:20 p	-0.7	1712
June 19th 2019, 2:12:20 p	-0.69	1718
June 19th 2019, 2:13:20 p	-0.69	1716
June 19th 2019, 2:14:21 p	-0.69	1710
June 19th 2019, 2:15:20 p	-0.7	1701
June 19th 2019, 2:16:20 p	-0.7	1705
June 19th 2019, 2:17:20 p	-0.69	1723
June 19th 2019, 2:18:21 p	-0.69	1741
June 19th 2019, 2:19:20 p	-0.7	1754
June 19th 2019, 2:20:21 p	-0.7	1713
June 19th 2019, 2:21:20 p	-0.7	1702
June 19th 2019, 2:22:20 p	-0.7	1727
June 19th 2019, 2:23:20 p	-0.7	1665
June 19th 2019, 2:24:20 p	-0.7	1733
June 19th 2019, 2:25:20 p	-0.7	1750
June 19th 2019, 2:26:20 p	-0.7	1729
June 19th 2019, 2:27:21 p	-0.7	1716
June 19th 2019, 2:28:21 p	-0.69	1709
June 19th 2019, 2:29:21 p	-0.7	1732
June 19th 2019, 2:30:20 p	-0.7	1717
June 19th 2019, 2:31:21 p	-0.7	1712
June 19th 2019, 2:32:21 p	-0.7	1735
June 19th 2019, 2:33:21 p	-0.7	1714
June 19th 2019, 2:34:22 p	-0.7	1695
June 19th 2019, 2:35:21 p	-0.71	1681
June 19th 2019, 2:37:24 p	-0.69	1719
June 19th 2019, 2:38:21 p	-0.7	1702
June 19th 2019, 2:39:21 p	-0.7	1709
June 19th 2019, 2:40:21 p	-0.7	1717
June 19th 2019, 2:41:21 p	-0.7	1710
June 19th 2019, 2:42:21 p	-0.7	1714
June 19th 2019, 2:43:21 p	-0.71	1713
June 19th 2019, 2:44:21 p	-0.7	1754
June 19th 2019, 2:45:21 p	-0.7	1679
June 19th 2019, 2:46:21 p	-0.7	1688
June 19th 2019, 2:47:21 p	-0.7	1674
June 19th 2019, 2:48:21 p	-0.7	1687
June 19th 2019, 2:49:21 p	-0.69	1700
June 19th 2019, 2:50:21 p	-0.69	1717
June 19th 2019, 2:51:21 p	-0.7	1704
June 19th 2019, 2:52:22 p	-0.71	1691
June 19th 2019, 2:53:21 p	-0.7	1687
June 19th 2019, 2:54:22 p	-0.7	1714
June 19th 2019, 2:55:22 p	-0.7	1724
June 19th 2019, 2:56:22 p	-0.7	1690
June 19th 2019, 2:57:22 p	-0.7	1706
June 19th 2019, 2:58:21 p	-0.7	1790
June 19th 2019, 2:59:21 p	-0.7	1705
June 19th 2019, 3:00:21 p	-0.71	1713
June 19th 2019, 3:01:21 p	-0.7	1744
June 19th 2019, 3:02:22 p	-0.7	1707
June 19th 2019, 3:03:22 p	-0.7	1717
June 19th 2019, 3:04:22 p	-0.71	1737
June 19th 2019, 3:05:21 p	-0.7	1735
June 19th 2019, 3:06:21 p	-0.7	1703
June 19th 2019, 3:07:22 p	-0.7	1726
June 19th 2019, 3:08:22 p	-0.7	1724
June 19th 2019, 3:09:22 p	-0.69	1714
June 19th 2019, 3:10:22 p	-0.7	1688
June 19th 2019, 3:11:23 p	-0.7	1761
June 19th 2019, 3:13:22 p	-0.7	1709
June 19th 2019, 3:14:22 p	-0.69	1714
June 19th 2019, 3:15:22 p	-0.7	1723
June 19th 2019, 3:16:22 p	-0.7	1717
June 19th 2019, 3:17:22 p	-0.7	1735
June 19th 2019, 3:18:22 p	-0.7	1811
June 19th 2019, 3:19:22 p	-0.69	1718
June 19th 2019, 3:20:23 p	-0.69	1711
June 19th 2019, 3:21:22 p	-0.69	1679
June 19th 2019, 3:22:23 p	-0.7	1715
June 19th 2019, 3:23:23 p	-0.7	1720
June 19th 2019, 3:24:24 p	-0.7	1710
June 19th 2019, 3:25:22 p	-0.7	1700
June 19th 2019, 3:26:23 p	-0.7	1737
June 19th 2019, 3:27:23 p	-0.7	1752
June 19th 2019, 3:28:22 p	-0.7	1718
June 19th 2019, 3:29:24 p	-0.7	1724
